id,brand,brand_ar,model,model_ar,series,price_segment,release_date,release_year,display_size,display_type,ram,storage,battery_capacity,5g_support,amazon_eg,amazon_eg_url,jumia_eg,jumia_eg_url,noon_eg,noon_eg_url,btech,2b,raya,carrefour,emax,xcite,sharafdg,extra,orange_eg,vodafone_eg,we_eg,mobileshop,megastore,technologystore,virgin,tradeline,master,lg_store,samsung_store,xiaomi_store,oppo_store,realme_store,yallashabab,smartbuy,elnekhely,cairosales,alborg,availability_score,lowest_price,highest_price,average_price,price_variance,best_store,last_price_update
1,Samsung,سامسونج,Galaxy S24 Ultra,جالاكسي S24 ألترا,Galaxy S,flagship,2024-01-25,2024,6.8 inches,Dynamic AMOLED,12GB/16GB,256GB/512GB/1TB,5000,Yes,16199..00,https://www.amazon.eg/-/en/Samsung-Smartphone-Upgrades-Octa-Core-Processor/dp/B0DZHNWVV6/ref=sr_1_1?dib=eyJ2IjoiMSJ9.fenzU1PNymdZeqCX97vkjs9v-yIugBeL9z3fQa-HPwUcrypdmtNHllEhhzsIWgmXgcEPUOnQAxo47vJOgbMgRWhisBDhBlehZSFD3nhz3ZhiwNw9mvaecJCCs6KCcINpzJlwx3E0pNp8AZSkxvd6CGLht4PBkeQ19qBEgfvzQ4qZn2KYiEmbuXJ4UdXpUqMT2A6fGK2h10uALUd3mUG1nYpF07jBnpGTshOKvAOwkrQhTNZgBqiK7GY_D84s-mCi_Y-TI9VqXrUqjhUjSaX2N0wScbb0MK-UJi4gQ4q4Q9Y.hUH0fNsaynymb2hm_4x7_feJ_-nF3dit2Wb1rz0PXYI&dib_tag=se&keywords=Samsung+Galaxy+S24+Ultra+smartphone&qid=1768132232&sr=8-1,350.0,https://www.jumia.com.eg/generic-25w-fast-charger-with-usb-type-c-cable-compatible-with-samsung-galaxy-a54s23-a34s22a53m53s24-ultras24s9s9note10note-10c55a14a15a24s10s10m55-and-oppo-black-charger-133402925.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,350,350,350,0,jumia_eg,2026-01-11T11:51:04.591668+00:00
2,Apple,أبل,iPhone 15 Pro Max,ايفون 15 برو ماكس,iPhone Pro,flagship,2023-09-22,2023,6.7 inches,OLED,8GB,256GB/512GB/1TB,4422,Yes,89950..00,https://www.amazon.eg/-/en/Apple-iPhone-Pro-Max-256/dp/B0FQF9QTMC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.qC9-IJQ9l3je7ll6a2oQatPT_q4hZwwiOyyH1m6Mqs4H5qHgVpaEN1mOV2vlGDnOf4i-UiLIsSws2bIkM-52FWJp78ZCfQGi1HrPBZ7jdj2JcgRcPMKotRqJFVTa7nygYUU8a9quCp-kfWhNCq78kR2BkZ5OyikGj3Z32uATJJR0o-NAed4BPiCZMN0vBab8WG7KssnJRgk1m_884vS-Z0Oz-BH1AxTD0XFr3spSR9yQWkCvSuY0WqQvcIcCtQqkwDCqaJCuoM_EaFih0hs2tVeljL4lZWppg1F5P2cZLR8.Uhg394gCRoCSEbwJ-FryBejBCfD1HFwai7oa03rIbxw&dib_tag=se&keywords=Apple+iPhone+15+Pro+Max+smartphone&qid=1768132266&sr=8-1,66500.0,https://www.jumia.com.eg/apple-iphone-15-pro-max-5g-256gb8gb-esim-mobile-phone-black-titanium-gold-grade-refurbished-133874488.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,66500,66500,66500,0,jumia_eg,2026-01-11T11:51:38.553480+00:00
