timestamp,id,amazon_eg,jumia_eg,noon_eg,btech,2b,raya,carrefour,emax,xcite,sharafdg,extra,orange_eg,vodafone_eg,we_eg,mobileshop,megastore,technologystore,virgin,tradeline,master,lg_store,samsung_store,xiaomi_store,oppo_store,realme_store,yallashabab,smartbuy,elnekhely,cairosales,alborg
2026-01-11T11:36:02.370075+00:00,1,2399..00,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11T11:36:02.370075+00:00,2,89950..00,66500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
